Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
0915,F,-1,262.8889,-0.003761296,1.359126,0.06962124,5.228719
0915,F,-1,263.3333,-0.003569253,1.356615,0.07291345,4.468066
0915,F,-1,263.7778,-0.003444891,1.36697,0.07359383,4.076798
0915,F,-1,264.2222,-0.01633854,1.393195,0.03403698,0.909824
0915,F,-1,264.6667,-0.04621256,1.391811,-0.01224914,339.4786
0915,F,-1,265.1111,-0.01134101,1.385667,-0.05740294,341.9303
0915,F,-1,265.5556,0.06128479,1.377897,-0.08007657,5.173124
0915,F,-1,266,0.09603266,1.378294,-0.08843523,18.52486
0915,F,-1,266.4445,0.06672113,1.375888,-0.06594388,359.2097
0915,F,-1,266.8889,0.03739747,1.374912,-0.05697481,340.9251
0915,F,-1,267.3333,0.04512174,1.371279,-0.05617636,341.0554
0915,F,-1,267.7778,0.07929383,1.369718,-0.04326361,357.1782
0915,F,-1,268.2222,0.09809791,1.370558,-0.03390441,7.422935
0915,F,-1,268.6667,0.1114334,1.369553,-0.04144091,17.44607
0915,F,-1,269.1111,0.08835798,1.361128,-0.03399842,2.034329
0915,F,-1,269.5556,0.06007335,1.359099,-0.03284721,347.9306
0915,F,-1,270,0.05209847,1.35824,-0.0277241,346.2956
0915,F,-1,270.4445,0.08460221,1.356256,-0.02261955,3.094798
0915,F,-1,270.8889,0.09631684,1.359863,-0.01447061,14.23927
0915,F,-1,271.3333,0.08302978,1.349641,0.004307571,13.89611
0915,F,-1,271.7778,0.06102277,1.347408,0.01192364,15.20182
0915,F,-1,272.2222,0.05281018,1.346171,0.01397599,17.44976
0915,F,-1,272.6667,0.05253973,1.348858,0.007927893,17.626
0915,F,-1,273.1111,0.0544887,1.350448,0.001628696,18.30353
0915,F,-1,273.5556,0.04659445,1.37467,-0.006178569,13.11084
0915,F,-1,274,0.04357013,1.3635,-0.01374905,11.82583
0915,F,-1,274.4445,0.05955229,1.358748,-0.004488307,16.62077
0915,F,-1,274.8889,0.0528746,1.361222,0.001918553,15.21388
0915,F,-1,275.3333,0.03229304,1.377903,-0.009508255,2.629727
0915,F,-1,275.7778,0.0536078,1.3716,0.01561797,1.91259
0915,F,-1,276.2222,0.07659759,1.346833,0.1511187,0.05700082
0915,F,-1,276.6667,0.02532179,1.34935,0.3469065,21.02502
0915,F,-1,277.1111,0.09686251,1.334238,0.5317978,23.88143
0915,F,-1,277.5556,0.2172737,1.350314,0.7530082,22.55952
0915,F,-1,278,0.213658,1.345866,0.9540731,27.15578
0915,F,-1,278.4445,0.3067425,1.343927,1.08839,25.05131
0915,F,-1,278.8889,0.4003185,1.345217,1.133192,19.0729
0915,F,-1,279.3333,0.3945523,1.349199,1.145948,11.69068
