Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
15,f,-1,123.7333,0.01698562,1.617006,0.04028421,0.4827422
15,f,-1,123.9556,0.01387755,1.619505,0.04824603,0.3787802
15,f,-1,124.1778,0.0001863251,1.628847,0.04915583,352.4375
15,f,-1,124.4,-0.02114744,1.631304,0.04082316,338.5338
15,f,-1,124.6222,-0.03301395,1.632372,0.02665501,329.6874
15,f,-1,124.8444,-0.03171326,1.635534,0.0181092,327.9216
15,f,-1,125.0667,-0.01833154,1.636396,0.02578957,339.3167
15,f,-1,125.2889,-1.067948E-05,1.634706,0.03296754,354.5856
15,f,-1,125.5111,0.01253775,1.633561,0.03365602,5.478132
15,f,-1,125.7333,0.02199219,1.632541,0.03208187,13.82843
15,f,-1,125.9556,0.03242839,1.632721,0.02937728,22.61523
15,f,-1,126.1778,0.03336748,1.632348,0.03060341,20.4732
15,f,-1,126.4,0.02349506,1.631843,0.03631246,8.073106
15,f,-1,126.6222,0.02549605,1.630539,0.04084883,6.927096
15,f,-1,126.8444,0.03798863,1.631262,0.04461344,15.21953
15,f,-1,127.0667,0.02385223,1.629022,0.05343597,0.7602946
15,f,-1,127.2889,-0.001304381,1.626736,0.05181912,336.4323
15,f,-1,127.5111,-0.01086542,1.625327,0.0468591,324.9594
15,f,-1,127.7333,-0.008374788,1.625165,0.049901,325.9724
15,f,-1,127.9556,0.003541311,1.624049,0.06082621,337.3945
15,f,-1,128.1778,0.01109715,1.623705,0.06805268,346.662
15,f,-1,128.4,0.01818078,1.623754,0.07122235,355.7423
15,f,-1,128.6222,0.03045715,1.622925,0.07332174,6.97842
15,f,-1,128.8445,0.03949556,1.622887,0.07492484,13.98324
15,f,-1,129.0667,0.04467329,1.622899,0.07497941,17.19927
15,f,-1,129.2889,0.04739423,1.622559,0.07374153,18.35054
15,f,-1,129.5111,0.04081147,1.622157,0.07328157,12.46183
15,f,-1,129.7333,0.01737181,1.619131,0.07244905,353.3431
15,f,-1,129.9556,3.765337E-05,1.616285,0.06961253,340.9767
15,f,-1,130.1778,0.001338193,1.614464,0.0715324,344.4331
15,f,-1,130.4,0.01445286,1.613261,0.07146604,356.5918
15,f,-1,130.6222,0.02389681,1.61331,0.068877,5.17961
15,f,-1,130.8445,0.02239775,1.611991,0.07034514,5.276559
15,f,-1,131.0667,0.01719293,1.612456,0.07371826,3.877682
15,f,-1,131.2889,0.01341051,1.61297,0.07595035,3.134677
15,f,-1,131.5111,0.009711197,1.614685,0.07441539,1.346562
15,f,-1,131.7333,0.004191902,1.615259,0.06948903,356.7927
15,f,-1,131.9556,0.001257402,1.61668,0.06851658,354.1374
15,f,-1,132.1778,-0.001462076,1.617665,0.06898387,351.1223
15,f,-1,132.4,0.003360569,1.61826,0.06957766,352.4482
15,f,-1,132.6222,0.0165426,1.621266,0.07227449,0.1422953
15,f,-1,132.8445,0.02634564,1.621484,0.07404912,6.314712
15,f,-1,133.0667,0.02969952,1.624686,0.07814634,7.254504
15,f,-1,133.2889,0.008312899,1.630793,0.0755775,349.2353
15,f,-1,133.5111,-0.01179038,1.632761,0.06564489,332.1738
15,f,-1,133.7333,-0.01340089,1.630738,0.06711685,332.3863
15,f,-1,133.9556,-0.002870388,1.628777,0.0728963,342.4807
15,f,-1,134.1778,0.01551893,1.62622,0.07557427,358.8467
15,f,-1,134.4,0.02709894,1.624518,0.07578678,9.084424
15,f,-1,134.6222,0.03321582,1.623223,0.07688219,13.5576
15,f,-1,134.8445,0.02827105,1.62193,0.07797413,9.532955
15,f,-1,135.0667,0.01570084,1.620661,0.07633532,359.7473
15,f,-1,135.2889,0.00609667,1.618824,0.07439736,352.0083
15,f,-1,135.5111,0.003702597,1.619237,0.07449729,350.1324
15,f,-1,135.7333,0.007505238,1.618656,0.0747802,352.9106
15,f,-1,135.9556,0.01102015,1.617871,0.07501913,356.7722
15,f,-1,136.1778,0.01158263,1.616744,0.07489119,359.0464
15,f,-1,136.4,0.01100873,1.615901,0.07531174,359.096
15,f,-1,136.6222,0.01145707,1.615377,0.07445744,358.2812
15,f,-1,136.8445,0.01228336,1.616359,0.07510689,357.3448
15,f,-1,137.0667,0.01425575,1.616557,0.07839278,356.9232
15,f,-1,137.2889,0.01691432,1.61637,0.08046669,356.8763
15,f,-1,137.5111,0.01795783,1.615793,0.07997173,356.9667
15,f,-1,137.7333,0.01790842,1.616217,0.07905409,357.3134
15,f,-1,137.9556,0.0186348,1.616005,0.08116929,357.4656
15,f,-1,138.1778,0.02068012,1.614663,0.08902872,356.8374
15,f,-1,138.4,0.02310069,1.606666,0.1053245,354.0992
15,f,-1,138.6222,0.0215228,1.593453,0.1261978,348.3171
15,f,-1,138.8445,0.02499595,1.597609,0.1303671,346.2124
15,f,-1,139.0667,0.03588255,1.615608,0.1151433,347.54
15,f,-1,139.2889,0.04252404,1.617182,0.09960102,349.0739
15,f,-1,139.5111,0.04327657,1.619226,0.09330779,348.8695
15,f,-1,139.7333,0.04646691,1.621018,0.09562679,350.6783
15,f,-1,139.9556,0.04117553,1.619725,0.1015331,350.5364
15,f,-1,140.1778,0.03445401,1.617628,0.1102907,350.7512
15,f,-1,140.4,0.02948853,1.616637,0.1212346,350.8685
15,f,-1,140.6222,0.02357505,1.609957,0.1413326,349.475
15,f,-1,140.8445,-0.006274343,1.601041,0.2090448,345.4593
15,f,-1,141.0667,-0.06294043,1.578817,0.3340121,344.9042
15,f,-1,141.2889,-0.1290064,1.593839,0.4801424,344.6422
15,f,-1,141.5111,-0.171036,1.601642,0.6142598,347.4346
15,f,-1,141.7333,-0.2050777,1.574947,0.7666785,346.8353
15,f,-1,141.9556,-0.2322304,1.592571,0.902285,345.7693
15,f,-1,142.1778,-0.265246,1.601038,1.00237,345.0504
15,f,-1,142.4,-0.3108524,1.601895,1.10198,346.5854
15,f,-1,142.6222,-0.3446812,1.607659,1.166528,349.2239
15,f,-1,142.8445,-0.3597931,1.604649,1.188336,350.8887
