Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
16,f,-1,130.3889,-0.03872178,1.654342,-0.07857231,1.392583
16,f,-1,130.6111,-0.0403158,1.655267,-0.07757328,0.543183
16,f,-1,130.8333,-0.04519302,1.658947,-0.07944555,356.9612
16,f,-1,131.0556,-0.04966138,1.6618,-0.084526,354.3011
16,f,-1,131.2778,-0.04680599,1.665012,-0.09157524,356.7064
16,f,-1,131.5,-0.03592202,1.668,-0.09788781,5.24367
16,f,-1,131.7222,-0.02362932,1.667797,-0.1044832,14.69978
16,f,-1,131.9444,-0.02261775,1.665971,-0.105841,14.92731
16,f,-1,132.1667,-0.0336835,1.662739,-0.1013674,5.309503
16,f,-1,132.3889,-0.04617872,1.661071,-0.09634824,356.4936
16,f,-1,132.6111,-0.05327302,1.65946,-0.09148761,352.8217
16,f,-1,132.8333,-0.0561317,1.658174,-0.08715852,353.295
16,f,-1,133.0556,-0.05350474,1.65543,-0.08436602,358.8589
16,f,-1,133.2778,-0.04771241,1.652737,-0.08376277,5.101959
16,f,-1,133.5,-0.04693766,1.648777,-0.08488631,6.855253
16,f,-1,133.7222,-0.04529065,1.648676,-0.08700517,8.697509
16,f,-1,133.9444,-0.04051161,1.649312,-0.09014188,11.06295
16,f,-1,134.1667,-0.03838921,1.649095,-0.09171653,10.53944
16,f,-1,134.3889,-0.04305422,1.648408,-0.08924874,5.481245
16,f,-1,134.6111,-0.04779074,1.64811,-0.08718279,0.1867763
16,f,-1,134.8333,-0.04607335,1.648491,-0.08703753,359.5626
16,f,-1,135.0556,-0.04214204,1.649971,-0.08773137,0.3454516
16,f,-1,135.2778,-0.04056928,1.650021,-0.08928328,0.1110719
16,f,-1,135.5,-0.04162858,1.651508,-0.09189796,359.8068
16,f,-1,135.7222,-0.04200244,1.651708,-0.09392626,0.4880757
16,f,-1,135.9444,-0.04059779,1.652318,-0.09572777,2.268937
16,f,-1,136.1667,-0.03758719,1.652203,-0.0982911,4.622307
16,f,-1,136.3889,-0.0385714,1.652905,-0.1013748,4.055718
16,f,-1,136.6111,-0.04223525,1.652893,-0.1062055,0.8148022
16,f,-1,136.8333,-0.04412585,1.652433,-0.1107372,358.6444
