Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
896,m,46,50.5,0.02896513,1.627324,-0.1528978,1.056643
896,m,46,50.94445,0.03424398,1.613784,-0.1727464,62.21205
896,m,46,51.38889,-0.1086657,1.587652,-0.3115752,146.2091
896,m,46,51.83334,-0.2134994,1.570102,-0.4885246,152.4955
896,m,46,52.27778,-0.1768065,1.529283,-0.7565425,154.721
896,m,46,52.72223,-0.008901227,1.564428,-1.103513,156.1583
896,m,46,53.16667,0.03756961,1.568944,-1.317797,146.763
896,m,15,61.74445,0.06033997,1.627197,-0.08005747,359.0358
896,m,15,62.18889,0.1854732,1.618337,-0.09945056,51.54431
896,m,15,62.63334,0.5001888,1.588865,-0.2847776,91.14339
896,m,15,63.07778,0.8696107,1.555285,-0.3065578,102.8222
896,m,15,63.52222,1.192737,1.593593,-0.3549524,105.1636
896,m,11,73.27778,-0.03631804,1.62929,-0.0126547,4.636374
896,m,11,73.72222,0.01230541,1.618635,-0.1068114,87.36701
896,m,11,74.16667,-0.1052981,1.603345,-0.4753351,153.049
896,m,11,74.61111,-0.1713904,1.581985,-0.804772,205.0659
896,m,11,75.05556,-0.02268612,1.591051,-1.125144,198.5886
896,m,11,75.5,-0.08742265,1.58372,-1.375802,190.5934
896,m,11,75.94444,-0.0917854,1.588544,-1.558506,183.8228
896,m,11,76.38889,0.02640558,1.587728,-1.741011,179.8955
896,m,11,76.83334,0.05653799,1.579903,-1.901165,179.3627
896,m,11,77.27778,0.00649441,1.591591,-2.103543,172.274
896,m,11,77.72222,0.02414733,1.597784,-2.177661,172.0352
896,m,14,86.74445,0.03784581,1.628266,-0.03977247,2.549846
896,m,14,87.18889,-0.06979786,1.621301,-0.04957853,301.2981
896,m,14,87.63334,-0.2913536,1.595001,-0.2922741,244.0475
896,m,14,88.07778,-0.6037989,1.57332,-0.4273797,231.717
896,m,14,88.52222,-0.8766478,1.623681,-0.5561905,221.8105
896,m,14,88.96667,-0.9597458,1.628276,-0.6587567,221.982
896,m,5,101.4222,0.0387632,1.624372,0.02156175,358.8026
896,m,5,101.8667,0.04994066,1.624241,0.02756584,2.539
896,m,5,102.3111,0.06639753,1.599631,-0.09507313,95.46632
896,m,5,102.7556,-0.1800089,1.577656,-0.4758263,177.892
896,m,5,103.2,-0.2647941,1.571729,-0.8222282,188.638
896,m,5,103.6444,-0.2020189,1.589028,-1.209537,192.9103
896,m,5,104.0889,-0.3348482,1.565093,-1.517213,193.2808
